Record ID,Image ,VLM,Text Prompt,Output
M142_1015935949_0001_0004_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY

PHOTO BY
ULRIKE WELSCH

DATE NEGATIVE TAKEN
JUL 22 1975

FOR STORY BY

DATE PICTURE USED
JUL 2 1975
NOV 5 1977
FEB 19 1987

SUBJECT (L TO R)
Fullmoon - July 23

Skyline for BJ Bridge
with 105 mm lens, double exposure on one negative!

moon Yeke on top with 500 mm lens

LIBRARY INDEXED
Boston Skyline"
M142_1015935949_0001_0029_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston skyline night scenes & views

SEP 23 1965

#10
4x55
4 league 89
for fri makeup

5 1/2

Dr. Rau
coc"
M142_1015935949_0001_0037_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","View taken from Charles River Park Redevelopment Project - W. End - Looking across Charles River

Skyline Night

Boston

Jan 5 1962

Photo by Edmund Kelley

Boston Globe

Jan 2 1962"
M142_1015935949_0001_0038_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","DAYS ARE GETTING SHORTER

DUSK FALLS OVER BOSTON
at 7:30 pm. looking North
on Expressway from Boston St. Bridge

Skyline note
Oct 15 '68

Boston Globe
PHOTO BY
BOB DEAN
AUG 28 1968"
M142_1015935949_0001_0050_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Boston - Night

Made from New England Mutual Bldg.

Church of the Covenant (Newbury and Berkeley Sts)

Ritz Carlton Hotel in center (foreground)

New Court House in background (to the left)

(NeWSuRy St. in center)

Front central door night ball Boylston St.

SEP 23 69

Boston Skyline Night

Photo by Charles Dixon"
M142_1015935949_0001_0062_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Stan Grossfeld
Aug 22 1976

5:30 AM Boston Sleeps
the Charles is still in fix
taken from Storrow Dr.
Field Rd. Allston.---

Boston Skyline
Night"
M142_1015935949_0001_0066_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","GLOBE PHOTO BY: Stan Grossfeld

DATE NEGATIVE TAKEN: FEB 14 1977

FOR STORY BY: 

DATE PICTURE USED: AUG 26 1977

SUBJECT (L TO R): Financial District + Waterfront reflected in early evening in harbor water.

LIBRARY IN EX: Boston Skyline Night 1977"
M142_1015935949_0001_0067_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.",
M142_1015935949_0001_0078_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.",
M142_1015935949_0001_0095_Back,,Qwen2-VL-7B,"Identify and transcribe all text in this image, preserving as much accuracy as possible. Include all dates and any text after ""photo by"".  Do not repeat the same sentence more than five times.","Northern Air looking into
Downtown Boston at 5:11
Boston Skyline
Nights
NOV 23 1985
38.6x100
#36
incsp
p.16
NOV 13 1985
GLOBE STAFF PHOTO BY
BILL BRETT"
